,dt,temperature,humidity
0,2023-04-16 19:23:17.403311+02:00,20.1,45.7
1,2023-04-16 19:24:17.396417+02:00,19.9,46.1
2,2023-04-16 19:25:17.412234+02:00,19.8,46.3
3,2023-04-16 19:26:17.420048+02:00,19.8,46.3
4,2023-04-16 19:27:17.456522+02:00,19.7,46.2
5,2023-04-16 19:28:17.363956+02:00,19.5,46.4
6,2023-04-16 19:29:17.453399+02:00,19.3,46.7
7,2023-04-16 19:30:17.467237+02:00,19.2,47.0
8,2023-04-16 19:31:17.469012+02:00,19.1,47.3
9,2023-04-16 19:32:17.496230+02:00,19.0,47.5
10,2023-04-16 19:33:17.478142+02:00,18.9,47.6
11,2023-04-16 19:34:17.505223+02:00,18.8,47.9
12,2023-04-16 20:38:06.162678+02:00,19.6,53.0
13,2023-04-16 20:39:06.187410+02:00,19.9,53.5
14,2023-04-16 20:40:06.179232+02:00,20.1,52.8
15,2023-04-16 20:41:06.151142+02:00,20.2,52.4
16,2023-04-16 20:42:06.161726+02:00,20.3,52.1
17,2023-04-16 20:43:06.161275+02:00,20.3,51.9
18,2023-04-16 20:44:06.157431+02:00,20.4,51.8
19,2023-04-16 20:44:42.957166+02:00,20.4,51.6
20,2023-04-16 20:45:41.034817+02:00,20.4,51.6
21,2023-04-16 20:46:03.962372+02:00,20.5,51.6
22,2023-04-16 20:46:41.442110+02:00,20.5,51.6
23,2023-04-16 20:47:24.646542+02:00,20.5,51.5
24,2023-04-16 20:50:44.656966+02:00,20.6,51.5
25,2023-04-16 20:54:03.964032+02:00,20.6,51.4
26,2023-04-16 20:54:15.398780+02:00,20.6,51.4
27,2023-04-16 20:54:36.580351+02:00,20.6,51.4
28,2023-04-16 20:55:25.614909+02:00,20.6,51.5
29,2023-04-16 20:56:26.027662+02:00,20.6,51.5
30,2023-04-16 20:57:26.028377+02:00,20.6,51.4
31,2023-04-16 20:58:26.032129+02:00,20.6,51.5
32,2023-04-16 20:58:43.250392+02:00,20.6,51.4
33,2023-04-16 20:58:58.846203+02:00,20.6,51.4
34,2023-04-16 20:59:40.597318+02:00,20.6,51.4
35,2023-04-16 21:01:28.970981+02:00,20.6,51.5
36,2023-04-16 21:02:29.329245+02:00,20.6,51.5
37,2023-04-16 21:02:34.989808+02:00,20.6,51.5
38,2023-04-16 21:03:16.661413+02:00,20.6,51.5
39,2023-04-16 21:03:32.665143+02:00,20.6,51.5
40,2023-04-16 21:04:32.948271+02:00,20.6,51.6
41,2023-04-16 21:05:33.031751+02:00,20.6,51.6
42,2023-04-16 21:06:33.043113+02:00,20.6,51.6
43,2023-04-16 21:07:33.048824+02:00,20.6,51.6
44,2023-04-16 21:08:32.965227+02:00,20.6,51.5
45,2023-04-16 21:09:33.073452+02:00,20.6,51.4
46,2023-04-16 21:10:32.967347+02:00,20.6,51.5
47,2023-04-16 21:11:32.957974+02:00,20.6,51.6
48,2023-04-16 21:12:32.978061+02:00,20.6,51.4
49,2023-04-16 21:13:32.975087+02:00,20.6,51.5
50,2023-04-16 21:14:32.971015+02:00,20.6,51.6
51,2023-04-16 21:15:32.980286+02:00,20.6,51.7
52,2023-04-16 21:16:32.991870+02:00,20.6,51.7
53,2023-04-16 21:17:32.987443+02:00,20.6,51.7
54,2023-04-16 21:18:33.004646+02:00,20.6,51.7
55,2023-04-16 21:19:33.001549+02:00,20.6,51.8
56,2023-04-16 21:20:32.955502+02:00,20.5,51.7
57,2023-04-16 21:21:33.013452+02:00,20.6,51.8
58,2023-04-16 21:22:33.019030+02:00,20.6,51.9
59,2023-04-16 21:23:33.029256+02:00,20.6,51.8
60,2023-04-16 21:24:33.062920+02:00,20.6,51.9
61,2023-04-16 21:25:33.079394+02:00,20.6,51.9
62,2023-04-16 21:26:33.046468+02:00,20.6,51.9
63,2023-04-16 21:27:33.052443+02:00,20.5,51.8
64,2023-04-16 21:28:33.073968+02:00,20.5,51.9
65,2023-04-16 21:29:33.070069+02:00,20.5,52.0
66,2023-04-16 21:30:32.962879+02:00,20.5,52.0
67,2023-04-16 21:31:32.972277+02:00,20.5,52.0
68,2023-04-16 21:32:32.976110+02:00,20.5,52.0
69,2023-04-16 21:33:32.993421+02:00,20.5,52.1
70,2023-04-16 21:34:32.992312+02:00,20.5,52.1
71,2023-04-16 21:35:32.995223+02:00,20.5,52.1
72,2023-04-16 21:36:33.011265+02:00,20.5,52.2
73,2023-04-16 21:37:32.957091+02:00,20.5,52.2
74,2023-04-16 21:38:33.017537+02:00,20.5,52.2
75,2023-04-16 21:39:33.020972+02:00,20.5,52.2
76,2023-04-16 21:40:33.031492+02:00,20.5,52.2
77,2023-04-16 21:41:33.034032+02:00,20.5,52.3
78,2023-04-16 21:42:33.036729+02:00,20.5,52.3
79,2023-04-16 21:43:33.055290+02:00,20.5,52.3
80,2023-04-16 21:44:32.959563+02:00,20.5,52.4
81,2023-04-16 21:45:33.056087+02:00,20.5,52.4
82,2023-04-16 21:46:32.998119+02:00,20.5,52.4
83,2023-04-16 21:47:33.118592+02:00,20.5,52.4
84,2023-04-16 21:48:33.034361+02:00,20.5,52.3
85,2023-04-16 21:49:33.008709+02:00,20.4,52.2
86,2023-04-16 21:50:33.037823+02:00,20.4,52.3
87,2023-04-16 21:51:33.035228+02:00,20.4,52.2
88,2023-04-16 21:52:33.045292+02:00,20.4,52.2
89,2023-04-16 21:53:33.055884+02:00,20.4,52.2
90,2023-04-16 21:54:32.998096+02:00,20.4,52.5
91,2023-04-16 21:55:33.064340+02:00,20.4,53.0
92,2023-04-16 21:56:33.071766+02:00,20.4,53.6
93,2023-04-16 21:57:32.998537+02:00,20.4,53.9
94,2023-04-16 21:58:33.090372+02:00,20.3,53.8
95,2023-04-16 21:59:33.121581+02:00,20.3,53.6
96,2023-04-16 22:00:33.105004+02:00,20.3,53.5
97,2023-04-16 22:01:33.110255+02:00,20.3,53.5
98,2023-04-16 22:02:33.110947+02:00,20.3,53.6
99,2023-04-16 22:03:33.046887+02:00,20.3,53.7
100,2023-04-16 22:04:33.012736+02:00,20.3,54.0
101,2023-04-16 22:05:33.085276+02:00,20.3,54.0
102,2023-04-16 22:06:33.041732+02:00,20.3,54.1
103,2023-04-16 22:07:33.051976+02:00,20.3,54.1
104,2023-04-16 22:08:33.016673+02:00,20.3,54.2
105,2023-04-16 22:09:33.054390+02:00,20.3,54.3
106,2023-04-16 22:10:33.131773+02:00,20.3,54.3
